name,author,artwork_url,code,license,like_count,description,top_5_comments
mandelbrot_v2,Jenques,https://www.lexaloffle.com/bbs/thumbs/pico8_mandelbrot_v2-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ma/mandelbrot_v2-5.p8.png],CC4-BY-NC-SA,4,"mandelbrot_v2Jenques•2026-08-29*2026-08-29 15:01*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilemandelbrot_v2Cart File|Forum Post|More cartridgesbyJenquesMore Cartridges[View All]mandelbrot_v2byJenquesCart#mandelbrot_v2-5

								|2026-09-09|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.The Mandelbrot setThis is a plot of the number of recursions it takes for a point (on a complex plane) to either form a cycle or fly off to infinity.Pico-8 has a limit on the precision of numbers so you can only zoom in so much. Technically speaking though there is an infinite amount to explore.Controls:Use your arrows to pan around and circle and cross to zoom.Colour Palette:To change the colour palette, open the pause menu with P or ENTER, and cycle through the options with your arrow keys. Press enter, P, circle or cross to close.Recursion Limit and Exponent:These values can be tweaked in menu like the colour palette to your liking.A higher recursion limit allows you to see finer detail in the fractal at the expense of performance.The exponent is purely for aesthetics, and allows you to change how the colours are rendered. (This may need some tweaking and changes)Version 2.4 change log and a note on higher precision:Hidden colours added to improve colour gradients.Added colour invert setting.Improved gradient calculation. (Further improvements needed, suggestions welcome)On higher precision:I vibe coded an experiment with combining variables to improve precision, however the functions impact performance a lot, so there's little point in publishing it. Though I would have to implement it by hand in order to publish, at this stage I don't think it's worth it. Let me know your thoughts on if it can be done efficiently or if you'd like to see it anyway.Version 2.3 change log and future plans:Optimised performance by refactoring code, removing expensive maths calls, localising variables and streamlining",No comments
Lab Escape,Snuznups,https://www.lexaloffle.com/bbs/thumbs/pico8_lab_escape-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/la/lab_escape-0.p8.png],CC4-BY-NC-SA,8,"Lab EscapeSnuznups•2026-08-29*2026-08-29 03:27*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilelab_escapeCart File|Forum Post|More cartridgesbySnuznupsMore Cartridges[View All]lab_escapebySnuznupsCart#lab_escape-0

								|2026-08-29|Code ▽|Embed ▽|License:CC4-BY-NC-SA8Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.This is my first game! I wanted to learn how to make a game on Pico-8 before I moved to a more powerful engine. I figured this would be a good test.The game is based of Metroid. No enemies, just exploring the map and finding upgrades.Feedback is greatly appreciated. I made it over a few evenings after work. I haven't coded in years, so it's not very compact and probably horribly inefficient. That being said, I'm still quite happy with it. I had a ton of fun with the map. It was a fun process drawing it out on paper and making it on the computer.It's also the first time I've ever made any sort of music or worked on pixel art, so there's plenty of room to improve.Not sure if I'll make any more Pico-8 games, or move on to something else (or do both).v1.1(changed some pipes in the background and extended a rail to make it less annoying)metroidvania8",No comments
Pushy Penguins,Somnolence22,https://www.lexaloffle.com/bbs/thumbs/pico8_pushypenguins-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pu/pushypenguins-1.p8.png],No License,3,"Pushy PenguinsSomnolence22•2026-08-282026-08-28 13:55•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilepushypenguinsCart File|Forum Post|More cartridgesbySomnolence22More Cartridges[View All]pushypenguinsbySomnolence22Cart#pushypenguins-1

								|2026-08-28|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.3",No comments
Spellshot,Somnolence22,https://www.lexaloffle.com/bbs/thumbs/pico8_spellshot-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/sp/spellshot-1.p8.png],No License,5,"SpellshotSomnolence22•2026-08-28*2026-08-28 13:48*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileSpellshotCart File|Forum Post|More cartridgesbySomnolence22More Cartridges[View All]SpellshotbySomnolence22Cart#spellshot-1

								|2026-08-29|Code ▽|Embed ▽|No License5Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.5",No comments
flappingbird,gogbone,https://www.lexaloffle.com/bbs/thumbs/pico8_flappingbird-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fl/flappingbird-2.p8.png],CC4-BY-NC-SA,2,"flappingbirdgogbone•2026-08-28*2026-08-28 01:39*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileflappingbirdCart File|Forum Post|More cartridgesbygogboneMore Cartridges[View All]flappingbirdbygogboneCart#flappingbird-2

								|2026-08-28|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.Made my first game ever, just a simple clone of flappy bird. :)flappybirdflappybirdfirstgame2",No comments
Horse SpeedCutting,tegstudio,https://www.lexaloffle.com/bbs/thumbs/pico8_horse_speedcutting-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ho/horse_speedcutting-0.p8.png],No License,3,"Horse SpeedCuttingtegstudio•2026-08-27*2026-08-27 18:58*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilehorse_speedcuttingCart File|Forum Post|More cartridgesbytegstudioMore Cartridges[View All]horse_speedcuttingbytegstudioCart#horse_speedcutting-0

								|2026-08-27|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.A small game where you take care of your horse and compete in cutting competitionshorsecuttingcompetitionfarm3",No comments
castello,skaith,https://www.lexaloffle.com/bbs/thumbs/pico8_castello-6.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ca/castello-6.p8.png],CC4-BY-NC-SA,15,"castelloskaith•2026-08-27*2026-08-27 18:23*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilecastelloCart File|Forum Post|More cartridgesbyskaithMore Cartridges[View All]castellobyskaithCart#castello-6

								|2026-08-30|Code ▽|Embed ▽|License:CC4-BY-NC-SA15Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.CastelloAn homage to the old castlevania games with sluggish controls, but without the linear platforming.  Explore the world to find orbs that open doors and other useful items that help you get through the castle to defeat the evil lord.I want to also thank designers of the following games for inspirationMush - Demon CastleJulianR - Subsurfacemetroidvaniacastlevania15",No comments
chess_tourist,Lyrdl,https://www.lexaloffle.com/bbs/thumbs/pico8_chess_tourist-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ch/chess_tourist-1.p8.png],CC4-BY-NC-SA,2,"chess_touristLyrdl•2026-08-27*2026-08-27 11:19*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilechess_touristCart File|Forum Post|More cartridgesbyLyrdlMore Cartridges[View All]chess_touristbyLyrdlCart#chess_tourist-1

								|2026-08-27|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.Step through a game of chess from history. Watch this space for the other (more interactive) bits I'll add...x to progress the gameo to go backup down to scroll annotations2",No comments
Rockhound,VeryNaughtyBoy42,https://www.lexaloffle.com/bbs/thumbs/pico8_rockhound-9.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ro/rockhound-9.p8.png],No License,5,"RockhoundVeryNaughtyBoy42•2026-08-27*2026-08-27 06:43*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileRockhound 1.05Cart File|Forum Post|More cartridgesbyVeryNaughtyBoy42More Cartridges[View All]Rockhound 1.05byVeryNaughtyBoy42Cart#rockhound-9

								|2026-09-04|Code ▽|Embed ▽|No License5Copy and paste the snippet below into your HTML.In short: traverse the maze, collect gems, don't get killed!This game grew organically - first as an experiment to generate a random maze, then adding a character to walk around the maze, then something to collect, and so on.Each level is randomly generated, so even if you start the game again you'll get a different maze. Each level gets larger (up to 63x63 tiles), and contains more gems to collect and enemies to avoid.Speaking of enemies, there are five types, each with their own unique behaviours! Which one is your favourite? Even though they're the slowest, I have a soft spot for the Nappers - they have a habit of falling asleep in the most inconvenient places!Occasionally you can pick up an invincibility shield or an extra life.All in all, I don't think this game would look out of place in the 80's arcades I grew up in.I'd love to hear your scores ... personally I'm yet to make it past level 8. I love that I get my ass kicked by my own game :)Version History:1.00 - Initial release1.01 - Changed movement to make it easier to walk between gaps in the walls1.02 - A few minor fix-ups1.03 - Note to self: stop tinkering and write a new game! 1.02 broke more than it fixed, gah.1.04 - OK, a bit more tinkering - I added a High Score function!1.05 - Increased the viewport sizemazepuzzlearcade5",No comments
Basic Shmup,techywrinkles,https://www.lexaloffle.com/bbs/thumbs/pico8_fopuhewube-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fo/fopuhewube-0.p8.png],No License,1,"Basic Shmuptechywrinkles•2026-08-272026-08-27 06:06•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilefopuhewubeCart File|Forum Post|More cartridgesbytechywrinklesMore Cartridges[View All]fopuhewubebytechywrinklesCart#fopuhewube-0

								|2026-08-27|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.shmupshooterstg1",No comments
Beeventure!,Zandor,https://www.lexaloffle.com/bbs/thumbs/pico8_pewubosubo-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pe/pewubosubo-0.p8.png],CC4-BY-NC-SA,3,"Beeventure!Zandor•2026-08-27*2026-08-27 00:26*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilepewubosuboCart File|Forum Post|More cartridgesbyZandorMore Cartridges[View All]pewubosubobyZandorCart#pewubosubo-0

								|2026-08-27|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.This is my first PICO-8 game! I had a lot of fun making it and I hope you like playing it. Let me know what you think!BEEVENTUREYou're a bee with one year to live. Gather pollen, turn it intohoney, and store up enough to survive the winter.THE GOALCollect 20 honey before winter ends. Each season runs 2.5 minutes,so a full year is about ten minutes. The world changes with theseasons -- the palette shifts, the flowers change, and it snows inwinter.CONTROLS⬅️ ➡️   move❎      hold to fly, let go to drop🅾️      call your helper bees back to you(also revives you when you die)HOW IT WORKSLand on a flower to collect pollen -- you can carry 4 to start.Fly home and land on the hive to deposit it.The honeycomb holds 16 pollen. Every time you fill it you get:+4 honey+1 helper bee (up to 4)+1 health, if you're hurtSo 20 honey means filling the comb five times. Flowers regrow aftera while, so you never run the world dry.HELPER BEESYour helper bees follow you and pick fights with the flies. Each onealso raises how much pollen you can carry, up to 8 with a full crew.They're fragile -- three hits and they're gone -- and when one diesyour carrying capacity drops with it. Press 🅾️ to pull them out of afight before they get killed, and bring them back to the hive to healthem up.WATCH OUTFlies cost you a heart on contact, and you only have four. Run out andyou'll wake up back at the start with full health -- but you'll dropevery scrap of pollen you were carrying.Press 🅾️ on the title screen for in-game help.casualarcadeaction3",No comments
My first game :>,ivoryP,https://www.lexaloffle.com/bbs/thumbs/pico8_boxingbrawlcart-12.png,[Cart: https://www.lexaloffle.com/bbs/cposts/bo/boxingbrawlcart-12.p8.png],CC4-BY-NC-SA,6,"My first game :>ivoryP•2026-08-19*2026-08-19 00:46*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileBoxing Brawl 1.0Cart File|Forum Post|More cartridgesbyivoryPMore Cartridges[View All]Boxing Brawl 1.0byivoryPCart#boxingbrawlcart-12

								|2026-08-26|Code ▽|Embed ▽|License:CC4-BY-NC-SA6Copy and paste the snippet below into your HTML.Hello people from pico-8, this is my first game, it is a turn-based boxing themed game which is, depending on my future motivation, either almost complete or far from it. This is the first original game that i make in pico-8, or any game engine, and i think i got the basics of how to code in here now. There are only five levels for now and the tutorial is not done, so it may be a bit frustrating, but i think it is playable.To fight, navigate to the move you want with the <- and -> , then use the up key to select the move. Using a move is going to cost you energy, which is the red bar in the left side, and if you run out of it you lose. After that you opponent is going to attack you and a simple little minigame is going to play, do it right and you will take no damage, miss and you take 3 points of damage.(damage also takes your energy away)Hope you have fun!(edit: i have worked on the game for a bit more time, polished it a bit, added new moves and the final enemy, and there are 15 moves for you to unlock now. There still are bugs and things that i wanted to add but i ran out of tokens, i even used Shrinko8 to get the last bit of code in there lol. I dont think the game is perfect, but im proud of it and think its a pretty good start for my pico-8 experience.)6",No comments
FoxFall: Peg Party!,atomic2002,https://www.lexaloffle.com/bbs/thumbs/pico8_foxfallpegparty-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fo/foxfallpegparty-0.p8.png],No License,3,"FoxFall: Peg Party!atomic2002•2026-08-272026-08-27 00:26•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileFoxFall: Peg Party! — A Peggle/Breakout/Plinko HybridHey folks! I've been working on a pinball-meets-peggle roguelike and wanted to share it with the community.What is it?FoxFall: Peg Party! is a peggle-inspired roguelike where you:Aim & shoot and at pegs/appples (up/down to aim, left/right to move, X to fire)Clear all the orange pegs (apples) laid out in puzzle patternsCatch the apples in the moving basket after each shot and bounce the ball back up to get even more apples(left/right to steer)Earn apples as currency to spend in the shop on upgrades:Extra balls (lives)Bombs ( press X ) to explode your bomb when surrounded by apples to make quick work of the board.Basket speed & sizeI'd love to hear what you think! Feel free to test it out and let me know what works, what doesn't, or what you'd like to see added though I am just about at the pico8 limit.Also available on Itch.iohttps://atomic2002.itch.io/foxfall-adventuresAnd soon on android under foxfall adventuresfoxfallpegpartyCart File|Forum Post|More cartridgesbyatomic2002More Cartridges[View All]foxfallpegpartybyatomic2002Cart#foxfallpegparty-0

								|2026-08-27|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Thanks! 🦊actionpuzzlepeggleplinkobreakoutcasual3",No comments
PICOPON v0.1.2 beta release,dbroown,https://www.lexaloffle.com/bbs/thumbs/pico8_picopon-3.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pi/picopon-3.p8.png],CC4-BY-NC-SA,8,"PICOPON v0.1.2 beta releasedbroown•2026-08-26*2026-08-26 23:37*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePICOPON v0.1 betaCart File|Forum Post|More cartridgesbydbroownMore Cartridges[View All]PICOPON v0.1 betabydbroownCart#picopon-3

								|2026-08-27|Code ▽|Embed ▽|License:CC4-BY-NC-SA8Copy and paste the snippet below into your HTML.Hi, this is my first cartridge, so be gentle, pls.PICOPON is basically both a demake and a reimagination of PATAPON.It is a rhythm-based game where you lead a small squad using commands. You can use two drums: PICO and PON.They can be used in different orders to give different commands, you have 4 in total:PICO-PICO-PICO-PON is AdvancePON-PON-PICO-PON is AttackPON-PICO-PON-PICO is RetreatPICO-PON-PICO-PON is DefendUse them to explore the dungeon, where you will find diverse and powerful enemies.The main appeal is the Rogue-lite elements, if you die, you have to start again, and I implemented a perks/cards system.We have 3 main perks:Unit cards: Add Pan the Archer to your party, or Tin the Swordman.Evolution: Evolve your unit, every class has two evolutions, you can only pick one per run.Perk: Win a powerful passive that will help you to make your way through the dungeon.In this first beta you can explore the complete first floor, with a miniboss at the end, all the feedback is well appreciated, I want to find bugs or balance the levels, feel free to comment and most importantly, ENJOY!PICO PICO PICO PON!rhythmpicopondemakepatapon8",No comments
Breakout Clone on PICO8,cinar6786,https://www.lexaloffle.com/bbs/thumbs/pico8_komufiwuha-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ko/komufiwuha-0.p8.png],No License,1,"Breakout Clone on PICO8cinar6786•2026-08-262026-08-26 15:17•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileBreakout Clone on PICO8Cart File|Forum Post|More cartridgesbycinar6786More Cartridges[View All]Breakout Clone on PICO8bycinar6786Cart#komufiwuha-0

								|2026-08-26|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.breakoutarkanoidarcadepaddlepaddlegameballballgameactionretro1",No comments
Red Ball 4 Port on PICO8 0.1,cinar6786,https://www.lexaloffle.com/bbs/thumbs/pico8_tihotiwaru-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ti/tihotiwaru-0.p8.png],No License,1,"Red Ball 4 Port on PICO8 0.1cinar6786•2026-08-262026-08-26 15:09•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileRed Ball 4 Port on PICO8 0.1Cart File|Forum Post|More cartridgesbycinar6786More Cartridges[View All]Red Ball 4 Port on PICO8 0.1bycinar6786Cart#tihotiwaru-0

								|2026-08-26|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.platformerpico81",No comments
Peak Demake Project (incomplete),raffaelord,https://www.lexaloffle.com/bbs/thumbs/pico8_peakdema_menu-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pe/peakdema_menu-1.p8.png],CC4-BY-NC-SA,10,"Peak Demake Project (incomplete)raffaelord•2026-08-262026-08-26 14:45•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePeak - Demake Demo v0.4Author's NotesThis is a remake project for the gamePeakthat I was working on a while back. I sort of stopped working on it because the feedback from testers was poor (the game wasn't very fun to play) and my hype forPeakkind of faded.I'm posting it here because I might pick it up again depending on community engagement.peakdema_menuCart File|Forum Post|More cartridgesbyraffaelordMore Cartridges[View All]peakdema_menubyraffaelordCart#peakdema_menu-1

								|2026-02-16|Code ▽|Embed ▽|License:CC4-BY-NC-SA10Copy and paste the snippet below into your HTML.Controls (In-game only)Left / Right Arrows:MoveZ:JumpX:Grab (consumes stamina)Down:Enter backpack modeBackpack mode:UseXto delete item,Zto use itemLinks & ContactView Version HistoryIf you'd like to help me create original music or demakes of thePeaksoundtrack, send me a DM on Twitter:@RRaffaelRocha02demakepeakarcademultplayer10",No comments
"PicoQuest, the Text based RPG",BonjeSponge_,https://www.lexaloffle.com/bbs/thumbs/pico8_fekutowoj-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fe/fekutowoj-0.p8.png],No License,2,"PicoQuest, the Text based RPGBonjeSponge_•2026-08-262026-08-26 06:36•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePicoQuestCart File|Forum Post|More cartridgesbyBonjeSponge_More Cartridges[View All]PicoQuestbyBonjeSponge_Cart#fekutowoj-0

								|2026-08-26|Code ▽|Embed ▽|No License2Copy and paste the snippet below into your HTML.rpgtextbasedadventureaction2",No comments
Dragon Crawler Carla,KnightVision,https://www.lexaloffle.com/bbs/thumbs/pico8_dragoncrawlercarla_1-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/dr/dragoncrawlercarla_1-0.p8.png],No License,3,"Dragon Crawler CarlaKnightVision•2026-08-262026-08-26 05:45•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profiledragoncrawlercarla_1Cart File|Forum Post|More cartridgesbyKnightVisionMore Cartridges[View All]dragoncrawlercarla_1byKnightVisionCart#dragoncrawlercarla_1-0

								|2026-08-26|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Dragon Crawler CarlaBy KnightVisionYou're Carla, dressed in your best gender-bent Carl cosplay. Navigate the crowds and hotels of your favorite fan convention, trying to get to your events on time. You can pick up badge ribbons from admirers along the way.ControlsArrow keys to movev/x or keypad x to exit static screens3",No comments
Intervium,8BJackie,https://www.lexaloffle.com/bbs/thumbs/pico8_intervium-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/in/intervium-5.p8.png],CC4-BY-NC-SA,14,"Intervium8BJackie•2026-08-26*2026-08-26 00:35*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileA different take on Minesweeper!Intervium 1.2Cart File|Forum Post|More cartridgesby8BJackieMore Cartridges[View All]Intervium 1.2by8BJackieCart#intervium-5

								|2026-08-29|Code ▽|Embed ▽|License:CC4-BY-NC-SA14Copy and paste the snippet below into your HTML.Navigate a maze, collect keys, and find your way to the goal but watch your step. One wrong move and you’ll fall into your demise. don't worry tho, you have like 2 tries before losingdue to ""Popular demand"" for me to explain the game mechanism, I suggest you guys read the 'help' menu before playingAlso, pardon the music… I’m still learning how to make music in pico8, I'm not proud of it either but you can mute them from pause menu (P)Intervium 1.1 change log:> Exploration mode can now be switches between hold mode and toggle mode in pause menu (pressP). so it's more friendly to mobile user> It's now clear which deco can be walks on and which's not (I hope so)> Changed the door sprite to be more clear so you can stop walking into wallIntervium 1.2 change log:> Added more Help tabs for actual “casual” players, so people can stop blaming me for not explaining the properly> You can now toggle solid decorations on/off in the pause menu, because apparently people are still complaining about the decorations blocking their way.> Added an explanation for “the-thing.” in help tabs> Also made the-thing more noticeable when it happens in game.> Added different-thing that activate differently and might take a while to notice. is buggy because I don't have enough token to polish it. but it works> I will not explain what they are. You have to find them yourself.mazeminesweepergrid14",No comments
my_first_game_p9,rainbow_tv,https://www.lexaloffle.com/bbs/thumbs/pico8_my_first_game_p9-4.png,[Cart: https://www.lexaloffle.com/bbs/cposts/my/my_first_game_p9-4.p8.png],CC4-BY-NC-SA,3,"my_first_game_p9rainbow_tv•2026-08-25*2026-08-25 06:08*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilemy_first_game_p9_1.1Cart File|Forum Post|More cartridgesbyrainbow_tvMore Cartridges[View All]my_first_game_p9_1.1byrainbow_tvCart#my_first_game_p9-4

								|2026-08-26|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.my_first_game_p9byrainbow_tvCart#my_first_game_p9-0

								|2026-08-25|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.something is wrong whit my game please help.i think you have to know the passwordterroranaloghorror3",No comments
Berliner Luft,novel,https://www.lexaloffle.com/bbs/thumbs/pico8_berlinerluft-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/be/berlinerluft-0.p8.png],CC4-BY-NC-SA,6,"Berliner Luftnovel•2026-08-242026-08-24 21:18•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileberlinerluftCart File|Forum Post|More cartridgesbynovelMore Cartridges[View All]berlinerluftbynovelCart#berlinerluft-0

								|2026-08-24|Code ▽|Embed ▽|License:CC4-BY-NC-SA6Copy and paste the snippet below into your HTML.A little one screen demo serving as an invitation for the Demoparty ""Deadline 2026"" in Berlin (4-6 of october). Released at Evoke (Demoparty in Cologne) last weekend.It was my very first release as a coder. Normally, when I do something in the demoscene, I make music on Amiga (Protracker). So this was a firstie and I learned a lot!The tune ""Berliner Luft"" (Berlin air) origins from an operetta from 1904 and is one the best known modern folk song melodies in Germany.demoscenedeadlineberlin6",No comments
Sapper,1Sergey,https://www.lexaloffle.com/bbs/thumbs/pico8_sapper01-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/sa/sapper01-0.p8.png],CC4-BY-NC-SA,7,"Sapper1Sergey•2026-08-24*2026-08-24 17:50*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilesapper01Cart File|Forum Post|More cartridgesby1SergeyMore Cartridges[View All]sapper01by1SergeyCart#sapper01-0

								|2026-08-26|Code ▽|Embed ▽|License:CC4-BY-NC-SA7Copy and paste the snippet below into your HTML.The standard Minesweeper we're all familiar with.I tried to make controls equally comfortable for both mouse and gamepad. Quick cursor movement with the gamepad.The 6x6 pixel grid allows for a large enough field on the screen and a legible font.I've also added a feature that I think this game is missing: right-clicking on a cell with a number.Thank you for playing!gamelogicminesweepersapperclassic7",No comments
mars lander,fr0st,https://www.lexaloffle.com/bbs/thumbs/pico8_biwitodusa-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/bi/biwitodusa-0.p8.png],CC4-BY-NC-SA,3,"mars landerfr0st•2026-08-24*2026-08-24 16:45*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profileup, left, right to movemy 1st game!biwitodusaCart File|Forum Post|More cartridgesbyfr0stMore Cartridges[View All]biwitodusabyfr0stCart#biwitodusa-0

								|2026-08-24|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.3",No comments
Ame Shoot 1.0.0 Release,CheeseB0y,https://www.lexaloffle.com/bbs/thumbs/pico8_ameshoot-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/am/ameshoot-0.p8.png],CC4-BY-NC-SA,4,"Ame Shoot 1.0.0 ReleaseCheeseB0y•2026-08-242026-08-24 00:03•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileAme ShootIn Ame Shoot you play as Hololive English's number 1 time traveling detective, Amelia Watson! You find yourself trapped in an underground cave. Fight your way out, and find out who trapped you here!This game is my first full solo game release outside of game jam projects. I am very excited to finally be finished with my first pico-8 project and show the world my work! The whole process of working on this game and learning about pico-8 and game development was a blast. let me know what you think.ameshootCart File|Forum Post|More cartridgesbyCheeseB0yMore Cartridges[View All]ameshootbyCheeseB0yCart#ameshoot-0

								|2026-08-23|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.This game is an independent, non-profit fan-made game created as a derivative work of Hololive Production. It is not endorsed, affiliated, or sponsored by COVER Corp. All rights, characters, and assets associated with Hololive Production are the property of COVER Corp.platformershooterhololiveindiedevfangame4",No comments
constructer,rainbow_tv,https://www.lexaloffle.com/bbs/thumbs/pico8_constructer-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/co/constructer-1.p8.png],CC4-BY-NC-SA,2,"constructerrainbow_tv•2026-08-23*2026-08-23 21:13*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileconstructerCart File|Forum Post|More cartridgesbyrainbow_tvMore Cartridges[View All]constructerbyrainbow_tvCart#constructer-1

								|2026-08-23|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.my first public game be free to trythey is here to2",No comments
Catch the right one,Piyush,https://www.lexaloffle.com/bbs/thumbs/pico8_mefohukeya-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/me/mefohukeya-0.p8.png],CC4-BY-NC-SA,1,"Catch the right onePiyush•2026-08-232026-08-23 15:52•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileCatch the right oneCart File|Forum Post|More cartridgesbyPiyushMore Cartridges[View All]Catch the right onebyPiyushCart#mefohukeya-0

								|2026-08-23|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.1",No comments
